Text Title,Text Author(s),Translator(s),Original Language,Anthology / Book Title / Link,LDA Full Corpus Topics,BERTopic Full Corpus Topics,BERTopic Language-Specific Corpus Topics
Strange Students,Smritikana Howlader,Moushumi Bhowmik ,Bengali,Dalit Lekhika,7,-1,-1
Tremors of Life,Sujata Biswas,Moushumi Bhowmik ,Bengali,Dalit Lekhika,9,-1,1
"Arise, Awaken",Lily Halder,Moushumi Bhowmik ,Bengali,Dalit Lekhika,13,-1,-1
Terror,Pratima Sarkar,Moushumi Bhowmik ,Bengali,Dalit Lekhika,13,-1,1
What We Had Wanted,Simly Majumdar,"Moushumi Bhowmik, Seemantini Gupta",Bengali,Dalit Lekhika,12,0,-1
Food Agitation,Kanika Sarkar,Seemantini Gupta,Bengali,Dalit Lekhika,4,5,-1
"Chuni, the Crimson Flicker",Manju Bala,Ajoy Sengupta,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",12,-1,-1
In Your Memory,Manohar Mouli Biswas,Amit Bhattacharya,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",16,0,0
On Chandini Being a Teacher,Pushpajit Ray,Amit Bhattacharya,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",19,2,-1
Lifelong Struggle,Kiran Talukdar,Ananya Acharya,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",13,-1,0
World Today,Santosh Kumar Barui,Ananya Das,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",20,-1,1
"Sabar, Resurrect Once More",Amar Halder,Anindita Lal,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",9,0,-1
The Question: A Shaft of Steel,Kalipada Mani,"Aparna Das, Samprikta Pal",Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",17,-1,-1
Here and There,Pradip Kumar Barman,Arunima Das,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",9,-1,-1
Appropriate Remedy,Amar Biswas,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",3,-1,0
Stair to Heaven,Smritikana Howlader,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",4,-1,0
Is Anyone Awakened,Nikhilesh Ray,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",4,-1,1
Rohit Vemula's Death and Thereafter,Swapan Biswas,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",9,-1,-1
Protest,Chuni Kotal,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",13,-1,0
Phoolan,Gopal Biswas,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",13,-1,0
Benjamin Basfore,Nikhilesh Ray,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",15,-1,-1
Devilish Riot,Smritikana Howlader,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",17,-1,-1
Peasant,Bina Roy Sarkar,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",14,0,-1
Strange Country,Amar Biswas,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",16,0,-1
Self Sacrifice Day,Anil Krishna Mullick,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",16,0,0
Aboriginals,Laxmi Mandi,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",18,0,0
Irony,Nabyendu Roy,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",19,0,0
You Are My Poems,Manohar Mouli Biswas,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",1,1,-1
The Song of Dukhe,Binoy Krishna Roy,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",1,3,0
To the Cloud Festival of Mokimpur,Nitya Malakar,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",13,3,0
Soren Mahali,Nikhilesh Ray,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",16,3,0
To A Light-Traveller,Susnato Jana,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",20,3,0
Poetry of the Marginal,Anil Sarkar,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",7,5,0
Budhni Ekka,Nikhilesh Ray,Asit Biswas,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",15,5,0
My Poems,Ashisbaran Sarkar,Astha Roy,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",1,1,1
Opportunists are Eternal,Kalyani Thakur Charal,Bapan Swar,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",20,0,-1
Dodo's Dream,Kalidas Bala,Bapi Saha,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",12,-1,1
We'll Light Up,Debashis Mondal,Debabrata Das,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",14,-1,1
Through Memory Lanes,Santi Ranjan Biswas,Debarati Chakraborty,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",7,3,0
The Shark of Singur,Bimal Biswas,Deblina Dey,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",14,-1,-1
The Smell of Food,Bina Roy Sarkar,Durba Dey,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",14,0,-1
Poetry Assembly of the Illiterate,Achintya Biswas,"Eshita Das, Santadip Chatterjee",Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",1,-1,1
Lalgarh,Laxmi Mandi,Gurpreet Singh,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",17,3,-1
Wake Up,Jatindra Mohan Majumder,Kankan Ganguly,Bengali,"Dalit Poems, Songs and Dialogues from Bengal in English Translation",4,0,0
